CODIGO	CD_BANCO	VALOR	DIAS_PRIMEIRA_PARCELA	TIPO_CLIENTE	CD_SEXO	QTDE_DIVIDAS_ANTERIORES	CD_CARTEIRA_CLIENTE	IDADE	GRUPO_IDADE_CONTA	ALVO_1_0
1	B341	196	32	NOVO	F	7	G	49	ATÉ 1 ANO	0
10	B356	154	16	NEUTRO	F	16	G	32	ENTRE 2 E 4 ANOS	0
11	B341	1153	20	NOVO	M	0	G	29	ENTRE 4 E 9 ANOS	1
93	B399	31	31	NOVO	M	8	G	NULL	ENTRE 1 E 2 ANOS	0
94	B399	31	24	NOVO	M	8	G	NULL	ENTRE 1 E 2 ANOS	0
108	B341	1073	13	NEUTRO	M	0	D	58	MAIOR OU IGUAL A 15	1
109	B33	312	35	NEUTRO	F	0	D	35	ENTRE 2 E 4 ANOS	0
115	B104	360	15	NOVO	F	0	D	47	ENTRE 2 E 4 ANOS	1
116	B104	360	15	NOVO	F	0	D	47	ENTRE 2 E 4 ANOS	1
117	B341	300	13	EXPERIENTE	 	0	D	49	MAIOR OU IGUAL A 15	0
118	B341	343	12	EXPERIENTE	 	0	D	49	MAIOR OU IGUAL A 15	0
932	B237	1000	15	NOVO	F	0	E	27	ENTRE 2 E 4 ANOS	1
933	B237	1000	21	NOVO	F	0	E	27	ENTRE 4 E 9 ANOS	1
934	B237	1000	18	NOVO	F	0	E	27	ENTRE 4 E 9 ANOS	1
935	B237	1000	36	NOVO	F	0	E	27	ENTRE 4 E 9 ANOS	1
948	B341	1391.9	159	VIP	F	0	E	NULL	MAIOR OU IGUAL A 15	1
949	B341	1391.9	77	VIP	F	0	E	NULL	MAIOR OU IGUAL A 15	1
950	B341	1391.9	57	VIP	F	0	E	NULL	MAIOR OU IGUAL A 15	1
952	B33	2542	17	NOVO	F	0	E	27	ENTRE 4 E 9 ANOS	1
971	B237	500	32	NOVO	M	0	E	NULL	ENTRE 1 E 2 ANOS	0
972	B237	500	64	NOVO	M	0	E	NULL	ENTRE 2 E 4 ANOS	0
973	B1	3000	21	NEUTRO	F	0	E	41	ENTRE 9 E 14 ANOS	1
983	B237	2633.33	49	NOVO	M	0	E	NULL	ENTRE 1 E 2 ANOS	1
994	B341	272	14	EXPERIENTE	M	15	E	59	ENTRE 4 E 9 ANOS	0
995	B341	272	19	EXPERIENTE	M	15	E	59	ENTRE 4 E 9 ANOS	0
996	B341	272	24	EXPERIENTE	M	15	E	59	ENTRE 4 E 9 ANOS	0
998	B104	811.2	17	NOVO	M	5	E	45	ENTRE 4 E 9 ANOS	0
999	B104	811.2	26	NOVO	M	5	E	46	ENTRE 4 E 9 ANOS	0
999	B104	811.2	26	NOVO	M	5	E	46	ENTRE 4 E 9 ANOS	0
1000	B104	811.2	22	NOVO	M	5	E	46	ENTRE 4 E 9 ANOS	0
1004	B399	2840	15	VIP	M	0	E	44	MAIOR OU IGUAL A 15	0
1035	B341	241.5	17	NOVO	F	2	G	52	ATÉ 1 ANO	1
1041	B33	263.93	16	NOVO	F	16	G	34	ATÉ 1 ANO	0
1042	B33	161.81	13	NOVO	F	16	G	34	ATÉ 1 ANO	0
